"filename", "language", "JSON", "JSON with Comments", "XML", "SCSS", "CSS", "HTML", "TypeScript", "Vue", "comment", "blank", "total"
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-room/hotel-room.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-room/hotel-room.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-room/hotel-room.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 118, 0, 2, 120
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/process-definition/process-definition-deploy.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/process-definition/process-definition-deployments.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/process-definition/process-definition-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/process-definition/process-definition-init.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/process-definition/process-definition-instances.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/process-definition/process-definition.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/process-deployment/process-deployment-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/process-instance/process-instance-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
